participant_id,group,topic,interface,veracity,rating,prior_knowledge
P_G1_01,1,Silk,Control,Hallucinated,5,2
P_G1_01,1,Matcha,Binary,True,8,3
P_G1_01,1,Quantum,PDI,True,7,1
P_G1_02,1,Silk,Control,Hallucinated,7,2
P_G1_02,1,Matcha,Binary,True,3,1
P_G1_02,1,Quantum,PDI,True,9,1
P_G1_03,1,Silk,Control,Hallucinated,2,1
P_G1_03,1,Matcha,Binary,True,5,1
P_G1_03,1,Quantum,PDI,True,9,1
P_G1_04,1,Silk,Control,Hallucinated,6,2
P_G1_04,1,Matcha,Binary,True,7,2
P_G1_04,1,Quantum,PDI,True,7,1
P_G1_05,1,Silk,Control,Hallucinated,8,3
P_G1_05,1,Matcha,Binary,True,4,2
P_G1_05,1,Quantum,PDI,True,10,2
P_G1_06,1,Silk,Control,Hallucinated,9,2
P_G1_06,1,Matcha,Binary,True,8,3
P_G1_06,1,Quantum,PDI,True,9,2
P_G1_07,1,Silk,Control,Hallucinated,6,1
P_G1_07,1,Matcha,Binary,True,5,1
P_G1_07,1,Quantum,PDI,True,7,1
P_G1_08,1,Silk,Control,Hallucinated,7,1
P_G1_08,1,Matcha,Binary,True,1,2
P_G1_08,1,Quantum,PDI,True,1,2
P_G1_09,1,Silk,Control,Hallucinated,9,3
P_G1_09,1,Matcha,Binary,True,7,5
P_G1_09,1,Quantum,PDI,True,10,4
P_G1_10,1,Silk,Control,Hallucinated,6,2
P_G1_10,1,Matcha,Binary,True,2,2
P_G1_10,1,Quantum,PDI,True,6,3
P_G1_11,1,Silk,Control,Hallucinated,6,2
P_G1_11,1,Matcha,Binary,True,8,2
P_G1_11,1,Quantum,PDI,True,10,2
P_G1_12,1,Silk,Control,Hallucinated,7,1
P_G1_12,1,Matcha,Binary,True,10,2
P_G1_12,1,Quantum,PDI,True,5,1
P_G1_13,1,Silk,Control,Hallucinated,8,1
P_G1_13,1,Matcha,Binary,True,8,1
P_G1_13,1,Quantum,PDI,True,9,2
P_G1_14,1,Silk,Control,Hallucinated,6,2
P_G1_14,1,Matcha,Binary,True,7,2
P_G1_14,1,Quantum,PDI,True,6,1
P_G1_15,1,Silk,Control,Hallucinated,2,1
P_G1_15,1,Matcha,Binary,True,8,2
P_G1_15,1,Quantum,PDI,True,9,1
P_G1_16,1,Silk,Control,Hallucinated,0,1
P_G1_16,1,Matcha,Binary,True,7,1
P_G1_16,1,Quantum,PDI,True,9,1
P_G1_17,1,Silk,Control,Hallucinated,7,2
P_G1_17,1,Matcha,Binary,True,8,3
P_G1_17,1,Quantum,PDI,True,9,2
P_G1_18,1,Silk,Control,Hallucinated,8,1
P_G1_18,1,Matcha,Binary,True,9,2
P_G1_18,1,Quantum,PDI,True,7,1
P_G1_19,1,Silk,Control,Hallucinated,8,1
P_G1_19,1,Matcha,Binary,True,7,1
P_G1_19,1,Quantum,PDI,True,10,1
P_G1_20,1,Silk,Control,Hallucinated,10,2
