split,form,evidence_status,AUC,AP
TruthfulQA_confirmatory,Multiplicative (paper),confirmatory,0.577,0.353
TruthfulQA_confirmatory,"Min{1-Pint, density}",confirmatory,0.559,0.322
TruthfulQA_confirmatory,Density only,confirmatory,0.537,0.309
TruthfulQA_confirmatory,P_int (Veto) only,confirmatory,0.592,0.33
TruthfulQA_confirmatory,"Gated, τ=0.10",confirmatory,0.581,0.344
TruthfulQA_confirmatory,"Gated, τ=0.30",confirmatory,0.569,0.336
TruthfulQA_confirmatory,"Gated, τ=0.50",confirmatory,0.543,0.331
TruthfulQA_confirmatory,Additive 0.5/0.5,confirmatory,0.58,0.356
TruthfulQA_confirmatory,Additive 0.75 P / 0.25 D,confirmatory,0.589,0.368
TruthfulQA_confirmatory,Additive 0.25 P / 0.75 D,confirmatory,0.559,0.33
TruthfulQA_confirmatory,Geometric α=0.25,confirmatory,0.558,0.331
TruthfulQA_confirmatory,Geometric α=0.50,confirmatory,0.577,0.353
TruthfulQA_confirmatory,Geometric α=0.75,confirmatory,0.586,0.351
All_exploratory,Multiplicative (paper),exploratory,0.535,0.268
All_exploratory,"Min{1-Pint, density}",exploratory,0.514,0.245
All_exploratory,Density only,exploratory,0.47,0.214
All_exploratory,P_int (Veto) only,exploratory,0.601,0.293
All_exploratory,"Gated, τ=0.10",exploratory,0.551,0.281
All_exploratory,"Gated, τ=0.30",exploratory,0.535,0.273
All_exploratory,"Gated, τ=0.50",exploratory,0.483,0.245
All_exploratory,Additive 0.5/0.5,exploratory,0.539,0.272
All_exploratory,Additive 0.75 P / 0.25 D,exploratory,0.559,0.297
All_exploratory,Additive 0.25 P / 0.75 D,exploratory,0.502,0.234
All_exploratory,Geometric α=0.25,exploratory,0.501,0.234
All_exploratory,Geometric α=0.50,exploratory,0.535,0.268
All_exploratory,Geometric α=0.75,exploratory,0.555,0.286
Dynamic_exploratory,Multiplicative (paper),exploratory,0.716,0.188
Dynamic_exploratory,"Min{1-Pint, density}",exploratory,0.649,0.141
Dynamic_exploratory,Density only,exploratory,0.284,0.054
Dynamic_exploratory,P_int (Veto) only,exploratory,0.918,0.367
Dynamic_exploratory,"Gated, τ=0.10",exploratory,0.915,0.273
Dynamic_exploratory,"Gated, τ=0.30",exploratory,0.926,0.3
Dynamic_exploratory,"Gated, τ=0.50",exploratory,0.401,0.121
Dynamic_exploratory,Additive 0.5/0.5,exploratory,0.73,0.166
Dynamic_exploratory,Additive 0.75 P / 0.25 D,exploratory,0.894,0.341
Dynamic_exploratory,Additive 0.25 P / 0.75 D,exploratory,0.482,0.079
Dynamic_exploratory,Geometric α=0.25,exploratory,0.482,0.079
Dynamic_exploratory,Geometric α=0.50,exploratory,0.716,0.188
Dynamic_exploratory,Geometric α=0.75,exploratory,0.894,0.341
