split,beta,evidence_status,AUC_D(T),AUC_density,AUC_pint
TruthfulQA_confirmatory,0.5,confirmatory,0.594,0.547,0.592
TruthfulQA_confirmatory,1.0,confirmatory,0.59,0.537,0.592
TruthfulQA_confirmatory,2.0,confirmatory,0.588,0.537,0.592
TruthfulQA_confirmatory,3.0,confirmatory,0.585,0.537,0.592
TruthfulQA_confirmatory,5.0,confirmatory,0.577,0.537,0.592
TruthfulQA_confirmatory,7.0,confirmatory,0.572,0.537,0.592
TruthfulQA_confirmatory,10.0,confirmatory,0.567,0.537,0.592
TruthfulQA_confirmatory,15.0,confirmatory,0.564,0.537,0.592
TruthfulQA_confirmatory,25.0,confirmatory,0.562,0.537,0.592
All_exploratory,0.5,exploratory,0.565,0.475,0.601
All_exploratory,1.0,exploratory,0.561,0.47,0.601
All_exploratory,2.0,exploratory,0.557,0.47,0.601
All_exploratory,3.0,exploratory,0.549,0.47,0.601
All_exploratory,5.0,exploratory,0.535,0.47,0.601
All_exploratory,7.0,exploratory,0.526,0.47,0.601
All_exploratory,10.0,exploratory,0.518,0.47,0.601
All_exploratory,15.0,exploratory,0.514,0.47,0.601
All_exploratory,25.0,exploratory,0.513,0.47,0.601
Dynamic_exploratory,0.5,exploratory,0.908,0.284,0.918
Dynamic_exploratory,1.0,exploratory,0.894,0.284,0.918
Dynamic_exploratory,2.0,exploratory,0.887,0.284,0.918
Dynamic_exploratory,3.0,exploratory,0.787,0.284,0.918
Dynamic_exploratory,5.0,exploratory,0.716,0.284,0.918
Dynamic_exploratory,7.0,exploratory,0.674,0.284,0.918
Dynamic_exploratory,10.0,exploratory,0.652,0.284,0.918
Dynamic_exploratory,15.0,exploratory,0.645,0.284,0.918
Dynamic_exploratory,25.0,exploratory,0.624,0.284,0.918
